"Buildname","Champion","role","build"
"Most Winning Build","Vladimir","Top","3152,3158,3116,3157,3065,3135"
"Most Winning Build","Vladimir","Middle","3158,3152,3116,3089,3157,3089"
"Most Popular Build","Vladimir","Top","3152,3158,3157,3116,3065,3089"
"Most Popular Build","Vladimir","Middle","3152,3158,3157,3116,3135,3089"
"Most Winning Build","Ryze","Top","3027,3003,3020,3135,3089,3026"
"Most Winning Build","Ryze","Middle","3009,3027,3003,3001,3135,3001"
"Most Popular Build","Ryze","Top","3027,3020,3003,3110,3001,3135"
"Most Popular Build","Ryze","Middle","3027,3009,3003,3001,3135,3110"
"Most Winning Build","Tristana","ADC","3031,3087,3006,3072,3036,3139"
"Most Popular Build","Tristana","ADC","3031,3006,3094,3072,3036,3026"
"Most Winning Build","Tryndamere","Top","3124,3087,3006,3031,3139,3033"
"Most Winning Build","Tryndamere","Jungle","1403,3124,3006,3031,3153,3087"
"Most Popular Build","Tryndamere","Top","3087,3006,3031,3153,3142,3033"
"Most Popular Build","Tryndamere","Jungle","1403,3006,3087,3153,3031,3142"
"Most Winning Build","Evelynn","Jungle","1402,3100,3020,3116,3102,3075"
"Most Popular Build","Evelynn","Jungle","1402,3009,3116,3100,3001,3026"
"Most Winning Build","Rammus","Top","3068,3047,3075,3102,3742,3026"
"Most Winning Build","Rammus","Jungle","1401,3047,3075,3742,3512,3083"
"Most Popular Build","Rammus","Top","3068,3047,3075,3742,3143,3102"
"Most Popular Build","Rammus","Jungle","1409,3047,3742,3075,3143,3512"
"Most Winning Build","Kassadin","Middle","3027,3158,3100,3157,3135,3089"
"Most Popular Build","Kassadin","Middle","3027,3158,3157,3100,3089,3135"
"Most Winning Build","Karma","Middle","3165,3285,3020,3089,3135,3151"
"Most Winning Build","Karma","Support","2049,3092,3020,3151,3116,3060"
"Most Popular Build","Karma","Middle","3165,3020,3285,3089,3135,3151"
"Most Popular Build","Karma","Support","2049,3092,3158,3190,3222,3116"
"Most Winning Build","Caitlyn","ADC","3031,3085,3006,3072,3036,3139"
"Most Popular Build","Caitlyn","ADC","3031,3006,3085,3072,3036,3139"
"Most Winning Build","Maokai","Top","3068,3025,3111,3065,3075,3083"
"Most Winning Build","Maokai","Jungle","1409,3117,3742,3065,3512,3800"
"Most Popular Build","Maokai","Top","3027,3111,3065,3110,3075,3143"
"Most Popular Build","Maokai","Jungle","1409,3117,3742,3065,3512,3800"
"Most Winning Build","MonkeyKing","Jungle","1400,3009,3071,3742,3156,3156"
"Most Winning Build","MonkeyKing","Top","3142,3009,3071,3156,3036,3812"
"Most Popular Build","MonkeyKing","Jungle","1400,3111,3071,3742,3102,3074"
"Most Popular Build","MonkeyKing","Top","3142,3009,3071,3742,3156,3053"
"Most Winning Build","Cassiopeia","Top","3027,3020,3003,3116,3151,3135"
"Most Winning Build","Cassiopeia","Middle","3116,3003,3020,3135,3089,3157"
"Most Popular Build","Cassiopeia","Top","3020,3116,3003,3135,3151,3285"
"Most Popular Build","Cassiopeia","Middle","3003,3020,3116,3089,3135,3026"
"Most Winning Build","Udyr","Jungle","3009,1402,3115,3100,3056,3001"
"Most Popular Build","Udyr","Jungle","1402,3009,3025,3512,3742,3065"
"Most Winning Build","Mordekaiser","Top","3009,3116,3053,3065,3143,3115"
"Most Winning Build","Mordekaiser","Middle","3116,3020,3001,3157,3157,3089"
"Most Popular Build","Mordekaiser","Top","3116,3009,3115,3053,3143,3001"
"Most Popular Build","Mordekaiser","Middle","3116,3020,3157,3089,3075,3065"
"Most Winning Build","Leona","Support","2049,3117,3401,3190,3068,3222"
"Most Popular Build","Leona","Support","2049,3401,3117,3190,3068,3110"
"Most Winning Build","Shen","Top","3065,3068,3009,3748,3143,3143"
"Most Winning Build","Shen","Support","3401,3068,3111,3190,3512,3022"
"Most Popular Build","Shen","Top","3068,3111,3748,3512,3742,3102"
"Most Popular Build","Shen","Support","2049,3401,3111,3068,3190,3075"
"Most Winning Build","Graves","Top","3812,3009,3046,3053,3156,3036"
"Most Winning Build","Graves","Jungle","1412,3009,3812,3046,3053,3156"
"Most Winning Build","Graves","ADC","3812,3046,3009,3156,3053,3031"
"Most Popular Build","Graves","Top","3812,3009,3046,3053,3156,3036"
"Most Popular Build","Graves","Jungle","1412,3009,3156,3053,3046,3036"
"Most Popular Build","Graves","ADC","3508,3006,3094,3031,3036,3026"
"Most Winning Build","Nautilus","Top","3068,3025,3009,3065,3742,3075"
"Most Winning Build","Nautilus","Support","2049,3009,3401,3190,3068,3025"
"Most Popular Build","Nautilus","Top","3068,3009,3025,3065,3512,3075"
"Most Popular Build","Nautilus","Support","2049,3009,3401,3190,3110,3075"
"Most Winning Build","Lulu","Top","3027,3158,3100,3135,3157,3001"
"Most Winning Build","Lulu","Support","2049,3158,3092,3190,3222,3110"
"Most Winning Build","Lulu","Middle","3092,3158,3100,3089,3135,3027"
"Most Popular Build","Lulu","Top","3027,3158,3165,3089,3157,3060"
"Most Popular Build","Lulu","Support","2049,3092,3158,3190,3222,3504"
"Most Popular Build","Lulu","Middle","3092,3158,3100,3089,3135,3157"
"Most Winning Build","Jayce","Top","3004,3158,3071,3036,3156,3053"
