"Name","Opponent","role","winrate"
"Karthus","Syndra","Middle","50"
"Karthus","Jayce","Middle","51.61"
"Karthus","Zyra","Middle","71.42"
"Karthus","Talon","Middle","46.8"
"Karthus","Kassadin","Middle","49.12"
"Karthus","Viktor","Middle","54.11"
"Karthus","Akali","Middle","55"
"Karthus","AurelionSol","Middle","48.21"
"Karthus","Vladimir","Middle","43.75"
"Karthus","Varus","Middle","41.66"
"Karthus","Anivia","Middle","42.5"
"Karthus","Quinn","Middle","40"
"Karthus","Zilean","Middle","50"
"Karthus","Chogath","Middle","55.88"
"Karthus","Brand","Middle","50"
"Karthus","Ryze","Middle","60"
"Karthus","Velkoz","Middle","46.29"
"Karthus","Malzahar","Middle","53.57"
"Karthus","Kayle","Middle","54.05"
"Karthus","Pantheon","Middle","64.28"
"Karthus","Katarina","Middle","50.78"
"Karthus","Orianna","Middle","45.61"
"Karthus","Diana","Middle","47.69"
"Karthus","Gangplank","Middle","50"
"Karthus","Annie","Middle","50.66"
"Karthus","Lissandra","Middle","46.59"
"Karthus","Lulu","Middle","51.92"
"Karthus","Karma","Middle","51.47"
"Karthus","Corki","Middle","57.42"
"Karthus","TwistedFate","Middle","51.35"
"Karthus","Zed","Middle","50.87"
"Karthus","Azir","Middle","52.55"
"Karthus","Fizz","Middle","45.37"
"Karthus","Ahri","Middle","43.27"
"Karthus","Leblanc","Middle","55.39"
"Karthus","Lux","Middle","46.02"
"Karthus","Morgana","Middle","56.45"
"Karthus","Yasuo","Middle","52.17"
"Karthus","Ekko","Middle","53.96"
"Shaco","Nunu","Jungle","52.85"
"Shaco","Aatrox","Jungle","63.63"
"Shaco","Rumble","Jungle","46.66"
"Shaco","Skarner","Jungle","52.17"
"Shaco","FiddleSticks","Jungle","51.61"
"Shaco","Olaf","Jungle","36.84"
"Shaco","RekSai","Jungle","56.6"
"Shaco","Warwick","Jungle","52.94"
"Shaco","Evelynn","Jungle","56.1"
"Shaco","Sion","Jungle","42.85"
"Shaco","DrMundo","Jungle","43.33"
"Shaco","AurelionSol","Jungle","53.22"
"Shaco","Sejuani","Jungle","47.26"
"Shaco","Tryndamere","Jungle","50"
"Shaco","Quinn","Jungle","49.33"
"Shaco","Chogath","Jungle","48.97"
"Shaco","Hecarim","Jungle","54.11"
"Shaco","JarvanIV","Jungle","51.58"
"Shaco","Zac","Jungle","50.26"
"Shaco","Nocturne","Jungle","47.65"
"Shaco","MonkeyKing","Jungle","52.99"
"Shaco","XinZhao","Jungle","55.47"
"Shaco","Kayle","Jungle","47.14"
"Shaco","Udyr","Jungle","53.54"
"Shaco","Pantheon","Jungle","62.99"
"Shaco","Rammus","Jungle","49.65"
"Shaco","Vi","Jungle","48.11"
"Shaco","Shyvana","Jungle","47.29"
"Shaco","Rengar","Jungle","53.28"
"Shaco","Diana","Jungle","54.29"
"Shaco","Volibear","Jungle","45.38"
"Shaco","Amumu","Jungle","45.81"
"Shaco","Elise","Jungle","54.04"
"Shaco","Nidalee","Jungle","52.76"
"Shaco","Poppy","Jungle","59.52"
"Shaco","Jax","Jungle","46.96"
"Shaco","Kindred","Jungle","50.96"
"Shaco","Maokai","Jungle","53.67"
"Shaco","MasterYi","Jungle","49.82"
"Shaco","Trundle","Jungle","51.12"
"Shaco","Khazix","Jungle","51.6"
"Shaco","Fizz","Jungle","53.62"
"Shaco","Gragas","Jungle","53.34"
"Shaco","Graves","Jungle","46.14"
"Shaco","Ekko","Jungle","49.53"
"Shaco","LeeSin","Jungle","54.15"
"Janna","Galio","Support","36.36"
"Janna","Nunu","Support","69.23"
"Janna","FiddleSticks","Support","64.7"
"Janna","Kennen","Support","52.8"
"Janna","Taric","Support","54.41"
"Janna","Zyra","Support","52"
"Janna","TahmKench","Support","61.99"
"Janna","Zilean","Support","51.73"
"Janna","Brand","Support","53.39"
"Janna","Sona","Support","47.79"
"Janna","Velkoz","Support","55.32"
"Janna","Shen","Support","62.62"
"Janna","Nami","Support","49.35"
"Janna","Annie","Support","53.83"
"Janna","Poppy","Support","58.83"
"Janna","Lulu","Support","54"
"Janna","Karma","Support","55.59"
"Janna","Bard","Support","54.47"
"Janna","Leona","Support","52.38"
"Janna","Trundle","Support","53.63"
"Janna","Soraka","Support","48.04"
"Janna","Lux","Support","55.65"
"Janna","Nautilus","Support","53.82"
"Janna","Blitzcrank","Support","50.26"
"Janna","Morgana","Support","53.72"
"Janna","Braum","Support","51.09"
"Janna","Alistar","Support","54.36"
"Janna","Thresh","Support","53.57"
"Veigar","Urgot","Middle","0"
"Veigar","Mordekaiser","Middle","50"
"Veigar","Galio","Middle","47.36"
"Veigar","Karthus","Middle","50"
"Veigar","Cassiopeia","Middle","47.05"
"Veigar","Swain","Middle","45.45"
"Veigar","Heimerdinger","Middle","36.66"
