"Champion","role","opponent","win_rate"
"Nunu","Support","Zyra""","33.33"
"Nunu","Support","TahmKench""","16.66"
"Nunu","Support","Zilean""","20"
"Nunu","Support","Brand""","0"
"Nunu","Support","Sona""","35.71"
"Nunu","Support","Velkoz""","44.44"
"Nunu","Support","Shen""","33.33"
"Nunu","Support","Nami""","41.66"
"Nunu","Support","Annie""","25"
"Nunu","Support","Poppy""","66.66"
"Nunu","Support","Lulu""","46.15"
"Nunu","Support","Karma""","62.5"
"Nunu","Support","Bard""","36.11"
"Nunu","Support","Leona""","24.24"
"Nunu","Support","Trundle""","33.33"
"Nunu","Support","Soraka""","45.16"
"Nunu","Support","Lux""","50"
"Nunu","Support","Nautilus""","20"
"Nunu","Support","Janna""","30.76"
"Nunu","Support","Blitzcrank""","50"
"Nunu","Support","Morgana""","36.58"
"Nunu","Support","Braum""","52.72"
"Nunu","Support","Alistar""","51.61"
"Nunu","Support","Thresh""","36.89"
"Nunu","Support","",""
"Nunu","Jungle","Aatrox""","50"
"Nunu","Jungle","Rumble""","33.33"
"Nunu","Jungle","Skarner""","45.45"
"Nunu","Jungle","FiddleSticks""","48"
"Nunu","Jungle","Olaf""","50"
"Nunu","Jungle","RekSai""","58.53"
"Nunu","Jungle","Warwick""","62.96"
"Nunu","Jungle","Evelynn""","57.14"
"Nunu","Jungle","Sion""","66.66"
"Nunu","Jungle","DrMundo""","66.66"
"Nunu","Jungle","AurelionSol""","28.57"
"Nunu","Jungle","Sejuani""","40"
"Nunu","Jungle","Tryndamere""","50"
"Nunu","Jungle","Quinn""","60"
"Nunu","Jungle","Chogath""","36.36"
"Nunu","Jungle","Hecarim""","36.58"
"Nunu","Jungle","JarvanIV""","47.36"
"Nunu","Jungle","Zac""","56.89"
"Nunu","Jungle","Nocturne""","63.26"
"Nunu","Jungle","MonkeyKing""","53.57"
"Nunu","Jungle","XinZhao""","61.4"
"Nunu","Jungle","Kayle""","44.44"
"Nunu","Jungle","Udyr""","46.57"
"Nunu","Jungle","Pantheon""","40"
"Nunu","Jungle","Rammus""","51.21"
"Nunu","Jungle","Shaco""","47.14"
"Nunu","Jungle","Vi""","46.96"
"Nunu","Jungle","Shyvana""","46.75"
"Nunu","Jungle","Rengar""","58.06"
"Nunu","Jungle","Diana""","61.11"
"Nunu","Jungle","Volibear""","50"
"Nunu","Jungle","Amumu""","36.73"
"Nunu","Jungle","Elise""","53.38"
"Nunu","Jungle","Nidalee""","46.22"
"Nunu","Jungle","Poppy""","55.55"
"Nunu","Jungle","Jax""","46.66"
"Nunu","Jungle","Kindred""","50.37"
"Nunu","Jungle","Maokai""","35.71"
"Nunu","Jungle","MasterYi""","49.64"
"Nunu","Jungle","Trundle""","72.22"
"Nunu","Jungle","Khazix""","54.43"
"Nunu","Jungle","Fizz""","40"
"Nunu","Jungle","Gragas""","44.95"
"Nunu","Jungle","Graves""","46.32"
"Nunu","Jungle","Ekko""","42.85"
"Nunu","Jungle","LeeSin""","52.57"
"Lucian","ADC","Urgot""","48.52"
"Lucian","ADC","Varus""","49.63"
"Lucian","ADC","Quinn""","50"
"Lucian","ADC","MissFortune""","49.13"
"Lucian","ADC","Twitch""","47.47"
"Lucian","ADC","Kalista""","53.86"
"Lucian","ADC","Ashe""","45.08"
"Lucian","ADC","Draven""","49.5"
"Lucian","ADC","KogMaw""","43.57"
"Lucian","ADC","Tristana""","50.38"
"Lucian","ADC","Corki""","53.88"
"Lucian","ADC","Jinx""","47.64"
"Lucian","ADC","Sivir""","47.6"
"Lucian","ADC","Caitlyn""","49.27"
"Lucian","ADC","Graves""","45.02"
"Lucian","ADC","Jhin""","47.5"
"Lucian","ADC","Vayne""","49.98"
"Lucian","ADC","Ezreal""","47.9"
"Morgana","Middle","Urgot""","57.14"
"Morgana","Middle","Mordekaiser""","70"
"Morgana","Middle","Galio""","54.28"
"Morgana","Middle","Karthus""","43.54"
"Morgana","Middle","Cassiopeia""","63.63"
"Morgana","Middle","Swain""","63.79"
"Morgana","Middle","Heimerdinger""","51.06"
"Morgana","Middle","Ziggs""","51.08"
"Morgana","Middle","Veigar""","53.04"
"Morgana","Middle","Kennen""","46.34"
"Morgana","Middle","Xerath""","55.9"
"Morgana","Middle","Syndra""","52.94"
"Morgana","Middle","Jayce""","62.24"
"Morgana","Middle","Zyra""","38.7"
"Morgana","Middle","Talon""","50.36"
"Morgana","Middle","Kassadin""","61.93"
"Morgana","Middle","Viktor""","45.69"
"Morgana","Middle","Akali""","45.67"
"Morgana","Middle","AurelionSol""","61.4"
"Morgana","Middle","Vladimir""","56"
"Morgana","Middle","Varus""","44.71"
"Morgana","Middle","Anivia""","50.21"
"Morgana","Middle","Quinn""","57.14"
"Morgana","Middle","Zilean""","53.12"
"Morgana","Middle","Chogath""","47.5"
"Morgana","Middle","Brand""","51.85"
"Morgana","Middle","Ryze""","57.29"
"Morgana","Middle","Velkoz""","51.31"
"Morgana","Middle","Malzahar""","52.09"
"Morgana","Middle","Kayle""","53.91"
"Morgana","Middle","Pantheon""","73.33"
"Morgana","Middle","Katarina""","51.51"
"Morgana","Middle","Orianna""","55.37"
"Morgana","Middle","Diana""","51.33"
"Morgana","Middle","Gangplank""","55.81"
"Morgana","Middle","Annie""","51.15"
"Morgana","Middle","Lissandra""","52.9"
"Morgana","Middle","Lulu""","50.6"
"Morgana","Middle","Karma""","54.75"
"Morgana","Middle","Corki""","60.07"
"Morgana","Middle","TwistedFate""","49.55"
"Morgana","Middle","Zed""","57.34"
"Morgana","Middle","Azir""","54.83"
"Morgana","Middle","Fizz""","49.55"
"Morgana","Middle","Ahri""","52.04"
"Morgana","Middle","Leblanc""","53.36"
"Morgana","Middle","Lux""","52"
"Morgana","Middle","Yasuo""","51.83"
"Morgana","Middle","Ekko""","55.23"
"Morgana","Middle","",""
"Morgana","Support","Galio""","54.34"
"Morgana","Support","Nunu""","63.41"
"Morgana","Support","FiddleSticks""","55.76"
"Morgana","Support","Kennen""","55.55"
"Morgana","Support","Taric""","45.05"
"Morgana","Support","Zyra""","49.18"
"Morgana","Support","TahmKench""","51.53"
"Morgana","Support","Zilean""","48.96"
"Morgana","Support","Brand""","45.05"
"Morgana","Support","Sona""","41.97"
"Morgana","Support","Velkoz""","49.03"
"Morgana","Support","Shen""","50.89"
"Morgana","Support","Nami""","49.63"
"Morgana","Support","Annie""","54.69"
"Morgana","Support","Poppy""","58.24"
"Morgana","Support","Lulu""","51.37"
"Morgana","Support","Karma""","52.33"
"Morgana","Support","Bard""","50.83"
"Morgana","Support","Leona""","50.81"
"Morgana","Support","Trundle""","50.55"
"Morgana","Support","Soraka""","45.34"
"Morgana","Support","Lux""","54.31"
"Morgana","Support","Nautilus""","50.33"
"Morgana","Support","Janna""","46.27"
"Morgana","Support","Blitzcrank""","46.43"
"Morgana","Support","Braum""","50.26"
"Morgana","Support","Alistar""","50.75"
"Morgana","Support","Thresh""","53.16"
"Karthus","Middle","Urgot""","100"
"Karthus","Middle","Mordekaiser""","0"
"Karthus","Middle","Galio""","50"
"Karthus","Middle","Cassiopeia""","50"
"Karthus","Middle","Swain""","52.63"
"Karthus","Middle","Heimerdinger""","50"
"Karthus","Middle","Ziggs""","60.86"
"Karthus","Middle","Veigar""","50"
"Karthus","Middle","Kennen""","56.25"
"Karthus","Middle","Xerath""","56.6"
"Karthus","Middle","Syndra""","50"
"Karthus","Middle","Jayce""","51.61"
"Karthus","Middle","Zyra""","71.42"
"Karthus","Middle","Talon""","46.8"
"Karthus","Middle","Kassadin""","49.12"
"Karthus","Middle","Viktor""","54.11"
"Karthus","Middle","Akali""","55"
"Karthus","Middle","AurelionSol""","48.21"
